,name,location,address,price,rating,type,Unnamed: 6,Unnamed: 7,sunday,monday,tuesday,wednesday,thursday,friday,saturday
495,Legazpi Active Park,Makati,"Trasierra, Legaspi Village, Makati, Luzon, Philippines",0,0.0,,,,,,,,,,
496,Cagbalete Island,Luzon,"Cagbalete, Mauban, Luzon, Philippines",0,0.0,Island,,,,,,,,,
497,Sombrero Island,Luzon,"Luzon, Philippines",0,0.0,Island,,,,,,,,,
498,Water Camp Resort,Kawit,"Magdiwang Highway,Panamitan, Kawit,Luzon 4104,Philippines",0,0.0,Waterpark,,,,,,,,,
501,Apung Mamacalulu Shrine,Luzon,"Celestino Dayrit Street,Angeles City,Luzon 2009, Philippines",0,0.0,Church,,,,,,,,,
502,Jardin de Miramar,Antipolo City,"276 San Jose Ext. Bgy. San Isidro Antipolo City, Antipolo City, Luzon 1670, Philippines",0,0.0,Historical Site,,,,,,,,,
504,San Guillermo Church,Bacolor,"Bacolor, Luzon, Philippines",0,0.0,Church,,,,,,,,,
506,Barasoain Ecclesiatical Museum,Malolos,"Paseo Del Congreso,Our Lady of Mt Carmel Parish, Malolos, Luzon, Philippines",0,0.0,Museum,,,,,,,,,
508,Serendra Fountains,Taguig,"11th Avenue, Taguig City, Philippines",0,0.0,,,,,,,,,,
509,Mary Immaculate Parish - Nature Church,Las Piñas,"Apollo III, Moonwalk Village,Las Pinas, Luzon,Philippines",0,0.0,Church,,,,,,,,,
511,Bahay Nakpil,Manila,"432 Ariston Bautista St, Manila, Luzon, Philippines",0,0.0,Exhibition Hall,,,,,9:00 AM - 5:00 PM,,9:00 AM - 5:00 PM,,9:00 AM - 5:00 PM
512,Philippine Army Museum Library and Archives,Taguig,"McArthur Drive | Fort Bonifacio,Taguig City,Luzon,Philippines",0,0.0,Museum,,,,,,,,,
516,Avilon Zoo,Luzon,"9003 GP Sitio Gulod, San Isidro, Rodriguez, Luzon 1860, Philippines",0,0.0,,,,,,,,,,
517,St. Gabriel of Our Lady of Sorrows Parish,Marikina,"143 East Drive, Barangay, Marikina, Luzon, Philippines",0,0.0,,,,,,,,,,
518,Museo Orlina,Tagaytay,"Hollywood Subdivision Road | Brgy. Tolentino East, Tagaytay, Luzon 4120, Philippines",0,0.0,Museum,,,,,,,,,
521,Twin Lakes,Batangas City,"Tagaytay - Nasugbu Hwy, Laurel, Batangas, Philippines",0,0.0,,,,,,,,,,
522,Zipline Tagaytay,Tagaytay,"Picnic Grove, Tagaytay, Luzon, Philippines",0,0.0,Aerial Tour,,,,,,,,,
523,San Ildefonso De Toledo Parish,Tanay,"M.H. Del Pilar St | Plaza Aldea, Tanay, Luzon 1980, Philippines",0,0.0,Church,,,,,,,,,
